"","x","y","date","dx","dy","dist","dt","R2n","abs.angle","rel.angle"
"76486",574922.310871547,7900116.73104641,2010-03-12 08:40:00,1.62080563511699,-49.5351894702762,49.5616989898752,1200,1049388301.57599,-1.53808770888267,0.290458592646855
"76487",574923.931677182,7900067.19585694,2010-03-12 09:00:00,12.6771135994932,-68.9414264401421,70.0972858876574,1200,1047530294.18257,-1.38894541112659,0.149142297756076
"76488",574936.608790782,7899998.2544305,2010-03-12 09:20:00,-186.321775700198,-27.3895851429552,188.324171243041,1200,1044389944.40769,-2.99563648208139,-1.6066910709548
"76489",574750.287015082,7899970.86484535,2010-03-12 09:40:00,-38.3128030863591,-47.7983713764697,61.2581030279019,1200,1053508553.68403,-2.24648191239081,0.749154569690576
"76490",574711.974211995,7899923.06647398,2010-03-12 10:00:00,1.93006260576658,0.668327821418643,2.04249938532688,1200,1053897742.57212,0.33335035570005,2.57983226809086
"76491",574713.904274601,7899923.7348018,2010-03-12 10:20:00,0.646632080897689,1.1227667145431,1.29566127646542,1200,1053816363.45261,1.04826538319885,0.714915027498804
"76492",574714.550906682,7899924.85756851,2010-03-12 10:40:00,-3.86012088658754,-1.33554916828871,4.08463276684527,1200,1053820926.27381,-2.80849792662063,2.4264219973601
"76493",574710.690785795,7899923.52201934,2010-03-12 11:00:00,-52.8863004941959,188.647396628745,195.920394637121,1200,1053983723.80205,1.84412465464727,-1.63056272591169
"76494",574657.804485301,7900112.16941597,2010-03-12 11:20:00,-48.4742101856973,247.614678289741,252.314838956529,1200,1063579664.44163,1.76411617400124,-0.0800084806460342
"76495",574609.330275116,7900359.78409426,2010-03-12 11:40:00,-70.434820833616,-46.9944464247674,84.673147931525,1200,1075147025.84407,-2.55321762922198,1.96585150395637
"76496",574538.895454282,7900312.78964784,2010-03-12 12:00:00,74.3908909717575,19.0621840860695,76.7943456362713,1200,1077297271.60747,0.250846234110872,2.80406386333286
"76497",574613.286345254,7900331.85183192,2010-03-12 12:20:00,59.3484617755748,-126.763295077719,139.96847107148,1200,1073918386.14794,-1.13292445477235,-1.38377068888322
"76498",574672.634807029,7900205.08853685,2010-03-12 12:40:00,40.7157988104736,-206.158381744288,210.140559236428,1200,1066104617.50581,-1.37580801300719,-0.242883558234839
"76499",574713.35060584,7899998.9301551,2010-03-12 13:00:00,-75.9261010222835,-81.415867369622,111.325272404759,1200,1056514469.56377,-2.32131797023057,-0.945509957223381
"76500",574637.424504817,7899917.51428773,2010-03-12 13:20:00,-81.0529832062311,-51.9045448480174,96.2479499132809,1200,1057764173.05042,-2.57201136860547,-0.250693398374898
"76501",574556.371521611,7899865.60974288,2010-03-12 13:40:00,-9.54663871217053,-4.01382127311081,10.3561127800536,1200,1060359823.88156,-2.74358780606626,-0.17157643746079
"76502",574546.824882899,7899861.59592161,2010-03-12 14:00:00,7.74512545880862,-17.8169323606417,19.4275589592817,1200,1060740839.29405,-1.16073350888841,1.58285429717784
"76503",574554.570008358,7899843.77898925,2010-03-12 14:20:00,243.30522665754,85.0204026428983,257.732229619109,1200,1059688524.53121,0.336175202112121,1.49690871100053
"76504",574797.875235015,7899928.79939189,2010-03-12 14:40:00,-40.9880184220383,-20.7718674261123,45.9509317700233,1200,1049432908.99761,-2.6725365546002,-3.00871175671233
"76505",574756.887216593,7899908.02752447,2010-03-12 15:00:00,-3.4509234331781,-5.83979368768632,6.78321921040436,1200,1050923129.5537,-2.10452181181031,0.568014742789899
"76506",574753.43629316,7899902.18773078,2010-03-12 15:20:00,178.536480536917,88.2056128038093,199.136900178256,1200,1050904107.48393,0.458874779324619,2.56339659113492
"76507",574931.972773697,7899990.39334358,2010-03-12 15:40:00,163.77356309013,38.5093836644664,168.24016344932,1200,1044360766.48571,0.230942708642681,-0.227932070681938
"76508",575095.746336787,7900028.90272725,2010-03-12 16:00:00,394.139509909786,47.0276938211173,396.93520536488,1200,1036916231.50335,0.118755942325399,-0.112186766317281
"76509",575489.885846697,7900075.93042107,2010-03-12 16:20:00,885.843587932643,-59.6882724324241,887.852213010332,1200,1017599957.93851,-0.0672784547756676,-0.186034397101067
"76510",576375.72943463,7900016.24214864,2010-03-12 16:40:00,1155.59309299383,-80.893005550839,1158.42094029852,1200,969422440.980312,-0.0698872839029617,-0.00260882912729409
